PMID,Title,Abstract,Journal,Year,Authors
40560747,Early Onset Memory Deficit of WMI Rats Compared to Their Nearly Isogenic WLIs Is Reversed by Enriched Environment in Females.,"The underlying mechanisms of early onset memory deficit remain poorly understood. We tested the hypothesis that environmental enrichment (EE) can attenuate early-onset cognitive decline in a novel genetic model, the Wistar Kyoto More Immobile (WMI) inbred rat strain, which manifests the risk factors of enhanced stress reactivity and depression-like behavior compared to its nearly isogenic control, the Wistar Kyoto Less Immobile strain (WLI). Middle-aged (12 months) WMI females exhibited dramatically diminished fear and spatial memory in the contextual fear conditioning and Morris Water Maze paradigms, respectively, compared to young females of both strains and to middle-aged WLI females. Middle-aged WMI males showed a lesser, but significant, age-induced deficit. EE from 6 to 12 months of age completely reversed the memory deficits in middle-aged WMI females and reversed age-induced decreases in plasma levels of estradiol. RNA sequencing from female hippocampi revealed significant strain, age, and enrichment-induced differentially expressed genes. Among these, solute carrier family 35, member A4 (Slc35a4) and potassium inwardly rectifying channel, subfamily J, member 2 (Kcnj2) were confirmed to show hippocampal expression changes parallel to that of memory in the WMI. These genes have critical roles in the integrated stress response, cellular metabolism, and the effects of stress on neurovascular coupling, respectively. Pathway analyses revealed the involvement of oxidative phosphorylation and mitochondrial dysfunction in the hippocampal processes of aging and EE-induced reversal. These findings underscore the critical involvement of molecular stress responses in early-onset memory decline and suggest potential therapeutic targets for age-related cognitive impairment.","Genes, brain, and behavior",2025,Michelle T Ji; Katherine J Przybyl; Aspen M Harter; Mariya Nemesh; Sophia T Jenz; Anna Yamazaki; Chris Kim; Megan K Mulligan; Hao Chen; Eva E Redei
40560656,Effects of Health Shocks on Adult Children's Labor Market Outcomes and Well-Being.,"Using Norwegian administrative register data, we assess the impact of unexpected health shocks hitting lone parents on offspring's labor market outcomes and well-being. We use first-time hip fractures or strokes as indicators of parental health shocks and estimate both the overall effects and the heterogeneous impacts by the survival time of the affected parent. We identify small, but significant, immediate responses in terms of an increase in physician-certified sickness absences and a higher risk of diagnosed mental disorders. The short-term effects are larger for offspring whose parents die shortly after the shock. Most of the effects fade out quickly, and the negative impacts on subsequent employment and earnings are small and only borderline statistically significant. In general, our results suggest that the responses to the deteriorating health of a parent tend to be short-lived and mostly manifest as temporary absences from work rather than complete detachment from the labor market.",Health economics,2025,Eduardo Ramirez Lizardi; Elisabeth Fevang; Knut Røed; Henning Øien
40560615,Fluid dynamics model of the cerebral ventricular system.,"Hydrocephalus, a neurological condition characterized by an excessive buildup of cerebrospinal fluid (CSF) in the brain, affects millions worldwide and leads to severe consequences. Current treatments, such as ventriculoperitoneal shunts, divert excess CSF from the brain but often face complications, mainly due to shunt obstructions caused by biological matter accumulation. While previous shunt designs aimed to improve fluid flow and reduce occlusion, they often lacked the precision needed for real-world applications due to simplified simulation models that did not fully capture the dynamics of the cerebral ventricular system. Here, we introduce BrainFlow, a computational model that integrates detailed anatomical and physiological features to simulate CSF dynamics in the presence of shunt implants. BrainFlow incorporates patient-specific medical imaging data, pulsatile flow to mimic cardiac cycles, adjustable parameters for various hydrocephalus conditions, and a biomolecule tracking feature to evaluate the long-term risk of shunt occlusion due to flow-mediated biomolecular transport. This model provides a more nuanced understanding of the factors contributing to shunt obstruction, offering insights into optimal shunt placement, design, and materials choice. Through validation against four-dimensional MRI flow data, BrainFlow demonstrates robust accuracy across multiple flow metrics. Our work lays the groundwork for the development of next-generation shunts tailored to individual patient anatomy and pathology, ultimately aiming to improve hydrocephalus treatment through informed, patient-specific design strategies.",Proceedings of the National Academy of Sciences of the United States of America,2025,Haritosh Patel; Yu Xuan Huang; Duygu Dengiz; Mariya Pravdivtseva; Olav Jansen; Eckhard Quandt; Joanna Aizenberg
40560586,Neurodevelopment Among Infants With Late-Onset Fetal Growth Restriction.,"Fetal growth restriction (FGR) is associated with adverse neurodevelopmental outcomes. However, the delineation of neurodevelopmental sequela in late-onset FGR has been hampered by challenges in diagnosing late-onset FGR and the confounding influence of prematurity. To characterize neurodevelopmental outcomes in full-term infants exposed to late-onset FGR and to examine the association of FGR with fetal hemodynamics, perinatal brain development, and somatic growth. In this single-center cohort study, pregnant persons with fetuses small for gestational age were enrolled between April 1, 2010, and August 31, 2016, and followed up until the infant was 36 months of age. Follow-up was completed November 2019. Data analysis was performed from June to August 2024. Late-onset FGR diagnosed based on a composite scoring system. The primary outcomes were neurodevelopmental outcomes at 4, 8, and 12 months of age assessed by the Alberta Infant Motor Scale (AIMS) and at 18 and 36 months of age assessed by the Bayley Scales of Infant and Toddler Development, Third Edition. Secondary outcomes included fetal hemodynamics and perinatal brain development assessed by magnetic resonance imaging findings and serial somatic growth. Among 97 singleton pregnancies (mean [SD] maternal age, 33.5 [3.8] years; 50 [52%] male neonates), 41 neonates (42%) were exposed to late-onset FGR. At 12-month follow-up, motor development was significantly delayed among full-term infants exposed to late-onset FGR compared with neonates appropriate for gestational age (AIMS mean difference, -4.5; 95% CI, -8.6 to -0.3). At all other time points, neurodevelopmental outcomes were similar between the groups. In models adjusted for covariates, gestational age at birth was associated with 18-month cognitive outcomes (coefficient, 4.13 [95% CI, 0.54-7.72]), while the diagnosis of late-onset FGR was not. Preterm infants exposed to FGR exhibited higher fetal combined ventricular output, higher ratio of cerebral to pulmonary blood flow, and lower oxygen saturation compared with full-term infants exposed to FGR and infants with no FGR exposure. In general, neonatal brain maturation and somatic growth by 12 months of age were similar between full-term infants exposed to FGR and those with no exposure. However, head circumference was smaller from birth until the 36-month follow-up in infants exposed to FGR. In this cohort study, full-term infants exposed to late-onset FGR exhibited normal neurodevelopmental outcomes by 18 and 36 months of age, and longer gestation was associated with improved outcomes. These findings suggest that early delivery is unlikely to offer neurodevelopmental benefit, and any adverse impact on neurodevelopmental outcomes of late-onset FGR among full-term infants is likely to be modest.",JAMA network open,2025,Liqun Sun; Fu-Tsuen Lee; Natasha Milligan; Mengyuan Zhu; Joshua F P van Amerom; Brahmdeep S Saini; Jessie Mei Lim; Christopher K Macgowan; Edmond Kelly; John C Kingdom; Mike Seed
40560571,Serotonin neurons are necessary for tonic sodium intake inhibition.,"Sodium appetite is a motivated behavior that occurs in response to sodium deprivation. Various neurotransmitters, including serotonin, are thought to regulate sodium intake. In the present study, we used genetic deletion to test whether serotonergic neurons are necessary for regulating sodium appetite. First, we confirmed that <i>Pet1</i>-Cre; <i>Lmx1b</i><sup>flox/flox</sup> (<i>Lmx1b</i><sup>f/f/p</sup>) mice have nearly complete deletion of serotonergic neurons, with only sporadic cells remaining. Next, we measured baseline intake of water and 3% NaCl and found that <i>Lmx1b</i><sup>f/f/p</sup> mice consume more salt than Cre-negative littermate-control mice (<i>Lmx1b</i><sup>f/f</sup>). Finally, we tested the necessity of serotonergic neurons for thirst and sodium appetite inhibition. After 24-hour water deprivation, mice lacking serotonergic neurons exhibited an intact thirst response by increasing water intake just like Cre-negative littermates. After furosemide diuresis followed by 24-hour sodium deprivation mice lacking serotonergic neurons exhibited an intact sodium appetite response by increasing salt and water intake like Cre-negative littermates. Interestingly, the baseline, daily salt intake of <i>Lmx1b</i><sup>f/f/p</sup> mice increased between tests relative to their initial baseline. Together, these findings indicate that while serotonergic neurons are not the primary mechanism controlling sodium appetite, they act as a 'brake' limiting sodium consumption. This tonic inhibitory role may protect against excess sodium intake and suggests the possibility that serotonergic medications may influence dietary sodium consumption.","American journal of physiology. Regulatory, integrative and comparative physiology",2025,Silvia Gasparini; Gordon F Buchanan; Joel C Geerling
40560555,"Polygenic Risk, Psychopathology, and Personalized Functional Brain Network Topography in Adolescence.","Functional brain networks are associated with both behavior and genetic factors. To uncover biological mechanisms of psychopathology, it is critical to define how the spatial organization of these networks relates to genetic risk during development. To determine the associations among transdiagnostic polygenic risk scores (PRSs), personalized functional brain networks (PFNs), and overall psychopathology (p-factor) during early adolescence. The Adolescent Brain Cognitive Development (ABCD) Study is an ongoing longitudinal cohort study of 21 collection sites across the US. This cross-sectional analysis includes ABCD baseline data collected between September 2016 and October 2018. The ABCD Study is a multisite community-based study. The sample is largely recruited through school systems. ABCD exclusion criteria included severe sensory, intellectual, medical, or neurological issues that interfere with protocol and scanner contraindications. Split-half subsets were used for cross-validation, matched on age, ethnicity, family structure, handedness, parental education, site, sex, and anesthesia exposure. Data were analyzed from January 2023 to July 2024. Polygenic risk scores of transdiagnostic genetic factors F1 (PRS-F1) and F2 (PRS-F2) derived from adults in Psychiatric Genomic Consortium and UK Biobanks datasets. PRS-F1 indexes liability for common psychiatric symptoms and disorders related to mood disturbance; PRS-F2 indexes liability for rarer forms of mental illness characterized by mania and psychosis. P-factor derived from bifactor models of youth- and parent-reported mental health assessments and person-specific functional brain network topography derived from functional magnetic resonance imaging scans. Total participants included 11 873 children aged 9 to 10 years; 5678 (47.8%) were female, and the mean (SD) age was 9.92 (0.62) years. PFN topography was found to be heritable (imaging subsample, n = 7459; 57.1% of vertices: mean h2, 0.35; false discovery rate-corrected P < .05). PRS-F1 was associated with p-factor (European ancestry subsample, n = 5815; r, 0.12; 95% CI, 0.09-0.15; P < .001). Interindividual differences in functional network topography were associated with p-factor (imaging subsample, n = 7459; mean r, 0.12), PRS-F1 (imaging and European ancestry subsample, n = 3982; mean r, 0.05), and PRS-F2 (n = 3982; mean r, 0.08). Cortical maps of p-factor and PRS-F1 regression coefficients were correlated (r, 0.70; P = .003, permutation test, N = 1000). Polygenic risk for transdiagnostic adulthood psychopathology was associated with both p-factor and heritable PFN topography during early adolescence in this study. These results may advance our understanding of the developmental drivers of psychopathology.",JAMA psychiatry,2025,Kevin Y Sun; J Eric Schmitt; Tyler M Moore; Ran Barzilay; Laura Almasy; Laura M Schultz; Allyson P Mackey; Eren Kafadar; Zhiqiang Sha; Jakob Seidlitz; Travis T Mallard; Zaixu Cui; Hongming Li; Yong Fan; Damien A Fair; Theodore D Satterthwaite; Arielle S Keller; Aaron Alexander-Bloch
40560524,"Molecular frontiers in hemodialysis: unraveling the role of membranes in gene expression, epigenetics, and inflammatory pathways.","Hemodialysis (HD) remains a vital treatment for patients with end-stage kidney disease, yet the characteristics of dialysis membranes significantly influence therapeutic outcomes. Membrane fouling, often caused by protein adherence, reduces toxin clearance and may lead to fluid and electrolyte imbalances. Recent studies have focused on modifying membrane chemistry to improve biocompatibility and reduce fouling. Although advancements have been made in understanding the biochemical and inflammatory responses during HD, the underlying molecular mechanisms, especially those involving epigenetic regulation remain incompletely understood. This review explores recent progress in HD treatment, with a specific emphasis on inflammation, gene expression, and epigenetic alterations. We examine how pro-inflammatory cytokines activate transcription factors that regulate gene expression and how genetic variability within inflammatory genes adds complexity to these pathways. In parallel, we assess emerging biocompatible membrane technologies designed to reduce adverse interactions with blood components, thereby enhancing patient safety and treatment efficiency. In addition, we discuss how genetic and epigenetic changes such as DNA mutations, methylation patterns, and histone modifications may influence patient responses to HD and contribute to complications, including mental health disorders such as depression. These insights support the development of personalized HD strategies tailored to the molecular and genetic profiles of individual patients. By integrating current findings from genetics, epigenetics, and gene expression studies, this review provides a comprehensive perspective on HD-related inflammation and molecular dysregulation. Our goal is to highlight key interconnections and identify critical knowledge gaps that must be addressed to improve long-term outcomes and quality of life for HD patients.",International urology and nephrology,2025,Hira Syeda; Victoria Doan; Ahmed Shoker; Amira Abdelrasoul
40560490,Ivermectin's neuroprotective effects decrease with prolonged use after cerebral ischemia/reperfusion.,"Ivermectin (IVM), the recipient of the 2015 Nobel Prize, is an FDA-approved drug for a variety of parasitic diseases in animals and humans. However, the implications of this compound on neurological disorders remain inadequately elucidated. Recently, our research team has elucidated the neuroprotective properties of ivermectin administered in three doses following cerebral ischemia/reperfusion (IR). The objective of the current investigation is to ascertain whether ivermectin sustains its neuroprotective properties through prolonged administration in models of cerebral IR in rats, as well as to evaluate its impact on the formation of neutrophil extracellular traps (NETs). A rat model of transient global cerebral IR was induced by occluding both carotid arteries for 20 min. Ivermectin (2 mg/kg/day) was administered intraperitoneally one hour after the induction of cerebral ischemia for 7 consecutive days at 24-hour intervals. Then, the effects of ivermectin on brain infarct size, blood cell profile, bleeding time, memory and learning, balance and motor coordination, myeloperoxidase enzyme activity, and H3cit protein levels were investigated. The finding showed that the administration of ivermectin for 7 days did not improve memory and learning, blood parameters, or cerebral infarct size. However, it caused a 25.4% reduction in citrullinated histone protein level, decreased myeloperoxidase activity (P = 0.017), and improved balance and motor coordination (P = 0.017 and P = 0.024). In conclusion, our findings indicate that prolonged administration of ivermectin may diminish its neuroprotective effects and its effects can differ depending on the drug regimen.",Metabolic brain disease,2025,Sevda Rezaei; Shabnam Babataheri; Hamid Soraya
40560485,Clinical Implications of Antidepressants and Associated Risk of Bleeding: A Narrative Review.,"Antidepressants, particularly selective serotonin reuptake inhibitors (SSRIs) and serotonin-norepinephrine reuptake inhibitors (SNRIs), are widely prescribed for mental health disorders. These medications, however, are linked to increased bleeding risks related to inhibition of serotonin reuptake, which impairs platelet aggregation. The present investigation explores the pharmacodynamics of antidepressants, clinical evidence of bleeding complications, and strategies to manage these risks. While SSRIs and SNRIs pose the highest risk, tricyclic and atypical antidepressants show comparatively lower bleeding incidences. The concomitant use of anticoagulants, NSAIDs, or antiplatelet agents significantly amplifies bleeding risk. Current guidelines stress individualized risk assessment, alternative drug selection, and preventive measures, such as gastroprotective agents. Future research may offer novel approaches to mitigate bleeding while maintaining therapeutic efficacy, ensuring the safety of antidepressants in clinical practices.",Current pain and headache reports,2025,Alan D Kaye; Harrison D Cooper; Sydney A Mashaw; Ahmed I Anwar; Alex V Hollander; Austin S Thomassen; Anushka Singh; Sahar Shekoohi
40560479,The Pathogenesis of Papilledema: Review of the Literature and a New Hypothesis.,"Since the first description of swelling of the optic nerve head in patients with increased intracranial pressure, our understanding of its pathogenesis has undergone significant changes. Early theories postulated that the swelling was caused by excessive extracellular fluid, but these views were disproved when electron microscopy showed that the swelling arose from dilated optic nerve axons, and autoradiography demonstrated blocked axonal transport at the posterior lamina cribrosa. This led to the currently prevailing view that the axonal swelling is caused by the damming back of axoplasm. However, this theory cannot account for the extent of swelling, its rate of development, and the variety of morphological changes in papilledema. It also cannot explain the differing patterns of swelling in papilledema and acute glaucoma despite identically located blockages of axonal transport. We conducted a biomechanical analysis, in which we calculated the stresses induced in a cylindrical nerve by external compression and the effect of these stresses on the nerve's axons and the axoplasm within them. We propose a new theory in which the axial gradient of tissue pressure causes displacement of axoplasm from the extraocular to the intraocular segment of the nerve, accounting for the intraocular axonal swelling. In addition, a sharply localized axial shear stress disrupts the axonal cytoskeleton to block axonal transport. Although the pressure gradient and the shear stress are both caused by the external compression of the nerve, they differ in their relative magnitudes across the nerve cross-section. The proposed hypothesis resolves the difficulties with the damming back hypothesis.",Bulletin of mathematical biology,2025,David N Levine; Ari I Rapalino
40560468,Regional free-water diffusion is more strongly related to neuroinflammation than neurodegeneration.,"Recent research has suggested that neuroinflammation may be important in the pathogenesis of neurodegenerative diseases. Free-water diffusion (FWD) has been proposed as a non-invasive neuroimaging-based biomarker for neuroinflammation. Free-water maps were generated using diffusion MRI data in 367 patients from the Ontario Neurodegenerative Disease Research Initiative (108 Alzheimer's Disease/Mild Cognitive Impairment, 42 Frontotemporal Dementia, 37 Amyotrophic Lateral Sclerosis, 123 Parkinson's Disease, and 58 vascular disease-related Cognitive Impairment). The ability of FWD to predict neuroinflammation and neurodegeneration from biofluids was estimated using plasma glial fibrillary-associated protein (GFAP) and neurofilament light chain (NfL), respectively. Recursive Feature Elimination (RFE) performed the strongest out of all feature selection algorithms used and revealed regional specificity for areas that are the most important features for predicting GFAP over NfL concentration. Deep learning models using selected features and demographic information revealed better prediction of GFAP over NfL. Based on feature selection and deep learning methods, FWD was found to be more strongly related to GFAP concentration (measure of astrogliosis) over NfL (measure of neuro-axonal damage), across neurodegenerative disease groups, in terms of predictive performance. Non-invasive markers of neurodegeneration such as MRI structural imaging that can reveal neurodegeneration already exist, while non-invasive markers of neuroinflammation are not available. Our results support the use of FWD as a non-invasive neuroimaging-based biomarker for neuroinflammation.",Journal of neurology,2025,Vishaal Sumra; Mohsen Hadian; Allison A Dilliott; Sali M K Farhan; Andrew R Frank; Anthony E Lang; Angela C Roberts; Angela Troyer; Stephen R Arnott; Connie Marras; David F Tang-Wai; Elizabeth Finger; Ekaterina Rogaeva; Joseph B Orange; Joel Ramirez; Lorne Zinman; Malcolm Binns; Michael Borrie; Morris Freedman; Miracle Ozzoude; Robert Bartha; Richard H Swartz; David Munoz; Mario Masellis; Sandra E Black; Roger A Dixon; Dar Dowlatshahi; David Grimes; Ayman Hassan; Robert A Hegele; Sanjeev Kumar; Stephen Pasternak; Bruce Pollock; Tarek Rajji; Demetrios Sahlas; Gustavo Saposnik; Maria Carmela Tartaglia
40560460,Bridging the Gap: The Neuro-immune Axis as a Key Player in Neurodegenerative Disorders.,"Neurodegenerative diseases encompass a diverse array of disorders that have a profoundly detrimental impact on human health, characterized by their intricate and multifaceted pathogenesis. In the recent past, a growing body of scientific research has begun to shed light on the critical involvement of the neuro-immune axis in the onset and advancement of these debilitating conditions. This comprehensive review article delves into the intricate composition of the neuro-immune axis, elucidating the complex mechanisms through which it exerts its influence in the context of neurodegenerative diseases. Furthermore, it explores the potential therapeutic applications of targeting the neuro-immune axis for the management and treatment of these diseases. This extensive examination aims to offer new perspectives and innovative strategies that could pave the way for more effective treatments for neurodegenerative diseases, thereby providing hope for those afflicted by these challenging conditions.",Neuroscience bulletin,2025,Tingting Liu; Haojie Wu; Jianshe Wei
40560457,Peripheral neuroblastic tumors: tumor biology and its implications for risk stratification.,"Peripheral neuroblastic tumor (pNT) is a pediatric tumor that originates from the sympathetic nervous system and is the most common extracranial solid malignancy found in children. It is characterized by its clinical and biological heterogeneity. Therefore, an International Neuroblastoma Risk Group (INRG) classification system was developed to create a standardized approach for pretreatment risk stratification. This system considers several factors, including the patient's age, tumor histology, the International Neuroblastoma Risk Group Staging System (INRGSS), DNA ploidy, the presence or absence of MYCN gene amplification in tumor cells, and segmental chromosomal aberrations, particularly the 11q aberration. In this review, we summarize the biological characteristics of peripheral neuroblastic tumors. We present their histopathological features, outline the different prognostic groups, discuss various molecular markers, and emphasize the importance of the risk stratification system in optimizing treatment.",European journal of pediatrics,2025,Aroua Anissi Eddaibouni; Sanaa Hachimi; Nisrine Bennani Guebessi; Siham Cherkaoui; Mehdi Karkouri
40560423,Epilepsy Prediction via Time-Frequency Features and Multi-Scale Hybrid Neural Networks.,"The prediction of epileptic seizures heavily depends on the precise embedding and classification of complex, multi-dimensional electroencephalogram (EEG) signals. Due to individual variability and the dynamic non-linear nature of EEG signals, extracting highly discriminative spatiotemporal features is a core challenge in this field. In this study, to address this issue, we proposed a novel architecture based on the Epilepsy Prediction using Multi-Scale Hybrid Neural Network (EPM-HNN), which integrates adaptive channel weighting, multi-scale spatial feature extraction, and bidirectional temporal dependency modeling. Specifically, we incorporated a sliding window mechanism with spatiotemporal resolution into the feature extraction process, enhancing the model's sensitivity to neural dynamics across frequency bands and improving its ability to capture micro-patterns. We used the Res2Net-50 multi-scale feature extractor to enhance the convolutional neural network's capacity to process complex local micro-features, such as polyspike-and-slow-wave complexes. Additionally, we introduced Squeeze-and-Excitation Networks (SENet) to adaptively capture potential effective features between different EEG channels. This dynamic weighting mechanism based on adaptive attention demonstrates strong robustness and high generalization across individual subject data. Furthermore, we proposed a non-single-subject, non-specific cross-subject training and testing method, demonstrating its ability to combat overfitting when addressing differences in data distribution. Experiments on the CHB-MIT scalp EEG dataset achieved an overall prediction accuracy of 97.7%, validating the effectiveness of the proposed EPM-HNN architecture.",Journal of medical systems,2025,Wenwen Chang; Bingyang Ji; Dandan Li; Lei Zhen; Yaxuan Wei; Xuan Liu; Guanghui Yan
40560390,[Youth mental health: early detection and early intervention of mental disorders].,"Mental diseases occur particularly frequently between the ages of 12 and 25 years, with important implications for the pathogenesis, diagnosis and treatment. Against this background this article outlines a youth mental health paradigm which prioritizes the early detection, early intervention and prevention of mental disorders, e.g., psychoses, bipolar disorders and personality disorders in adolescence. The first part of the article summarizes the findings for sensitive phases during brain development, which indicate the elevated plasticity of neural circuits during youth that can be used for preventive interventions. The interactions between risk and resilience factors and ongoing brain development are an essential reason for the frequent occurrence of mental disorders between 12-25 years. Furthermore, innovative diagnostic approaches, such as clinical staging models, are proposed that are a prerequisite for early detection and early intervention. In this context, low-threshold service modelss and age-appropriate interventions, such as digital approaches, are necessary to improve access to care in youths. Taken together, a ""youth mental health"" paradigm could significantly enhance mental health in young people and initiate a shift towards the prevention of severe mental disorders.",Der Nervenarzt,2025,Peter J Uhlhaas; Andreas Bechdolf; Kerstin Konrad; Nikolaos Koutsouleris; Eva Meisenzahl; Andreas Meyer-Lindenberg; Ulrich Reininghaus; Christoph U Correll
40560295,Obstructive sleep apnea is a risk factor for incident COVID-19 infection.,,Sleep & breathing = Schlaf & Atmung,2025,Stuart F Quan; Matthew D Weaver; Mark É Czeisler; Laura K Barger; Lauren A Booker; Mark E Howard; Melinda L Jackson; Christine F McDonald; Anna Ridgers; Rebecca Robbins; Prerna Varma; Shantha M W Rajaratnam; Charles A Czeisler
40560248,Sensitivity to negative-feedback processing in people with Parkinson's disease and impulsive-compulsive behaviours.,,"Journal of neural transmission (Vienna, Austria : 1996)",2025,Alice Martini; Nicola Edelstyn; Luca Weis; Stefano Tamburin; Roberta Schifano; Joseph L Brooks; Elisa Mantovani; James A Grange; Matteo Francesco Lauriola; Francesca Pistonesi; Giuseppe Leoni; Angelo Antonini; Roberta Biundo
40560244,Phytochemicals as modulators of ferroptosis: a novel therapeutic avenue in cancer and neurodegeneration.,"Ferroptosis, a controlled cell death mechanism characterised by iron-dependent lipid peroxidation, has become a significant factor in the pathophysiology of cancer and neurodegenerative disorders. Its dual role as a tumor suppressor and mediator of neuronal damage highlights its significance as a therapeutic target. Phytochemicals, natural bioactive molecules in plants, have attracted interest for their ability to modulate ferroptosis through diverse mechanisms, including regulation of oxidative stress, iron metabolism, and antioxidant defense systems. This review examines the complex relationship between ferroptosis and disease mechanisms, emphasizing its relevance in treatment-resistant cancers and neurodegenerative disorders such as Alzheimer's and Parkinson's diseases. Information was taken from reputable databases such as PubMed, Scopus, and Web of Science. We thoroughly analyzed the current evidence on phytochemicals-including polyphenols like curcumin and epigallocatechin gallate, flavonoids like quercetin and luteolin, and alkaloids like berberine-as modulators of ferroptotic pathways. Despite their promising therapeutic potential, challenges such as limited bioavailability, pharmacokinetics, and clinical validation remain significant hurdles. Future research focusing on advanced delivery systems, synergistic approaches, and personalized medicine strategies could unlock the full potential of phytochemicals in ferroptosis-targeted therapies. This review underscores phytochemicals as a novel and versatile avenue in addressing the unmet therapeutic needs in cancer and neurodegenerative diseases.",Molecular biology reports,2025,Esther Ugo Alum; Ada Ak Akwari; Prince Nkemakolam Okoroh; Ugonna Cassandra Aniokete; Jacinta Nnennaya Abba; Daniel Ejim Uti
40560091,Where Does It All Itch? Exploring the Characteristics of Pruritus in Small Fiber Neuropathy.,"Chronic itch, or pruritus, is a common discomfort of the skin. Chronic itch has been described as a symptom of small fiber neuropathy (SFN), a disorder affecting the small myelinated Aδ- and unmyelinated C-fibers. While prior studies report itch rates in SFN ranging from 63%-68%, a distinct pattern has not been identified. This study aimed to describe the clinical characteristics of itch in a large cohort of SFN patients. Between May 2016 and August 2022, 1415 patients filled out an exploratory questionnaire about characteristics of their itch symptoms. 83% were diagnosed with SFN based on the Besta criteria. Itch was reported in 66% of SFN patients, mainly experienced as tickling, prickling, and tingling sensations. Itch was most common in the evening, with 98% reporting continuous or episodic symptoms during this time. The itch was predominantly localized to the distal extremities, especially the lower legs and feet (over 50% of patients), with additional reports on the back (25%) and face (27%). Unlike the typical stocking-glove distribution seen with neuropathic pain, itch showed a slightly more proximal locus. SFN patients were more likely to report itching in the hands and feet than non-SFN patients. This study reveals that itch in SFN is a frequent, heterogeneous symptom that may differ from neuropathic pain in its distribution. Itch, particularly in the hands and feet, may provide diagnostic guidance and suggest SFN as a potential diagnosis. This finding warrants further research on itch mechanisms and its diagnostic value in SFN.",Journal of the peripheral nervous system : JPNS,2025,Dennis Kool; Janneke G J Hoeijmakers; Catharina G Faber; Ingemar S J Merkies
40560089,Leveraging big electronic data to identify oral care disparities in individuals with serious mental illness.,"Individuals with serious mental illness (SMI) have poorer oral health than the general population for various reasons, including poor oral hygiene, adverse effects of psychotropic medicines, stigma, fear, cognitive impairment, lack of insur¬ance coverage, and a shortage of professionals qualified to manage the oral health needs of this population. Oral health deteriorates further when care is postponed, resulting in greater treatment needs when the patient visits the dental office. This retrospective study aimed to determine differ¬ences in service return rate and frequency of visits for each of 12 American Dental Association (ADA) oral procedures in patients with and without SMI who were treated in a predoctoral dental clinic at a northeastern US dental school. This retrospective study used the dental electronic health records of 12,138 adult patients aged 18 years and over (total of 19,096 unique patient encounters) who received at least 1 comprehensive oral evaluation between January 1, 2017, and August 31, 2021. Three data processing methods were implemented to retrieve periodontal diagnoses in accordance with American Academy of Periodontology guidelines and to extract medical histories and behavioral factors from free text. Chi-square tests determined that there were statistically significant differences between the 2 groups for 4 of 12 ADA procedures, while t tests deter¬mined that the SMI group had a higher frequency of visits for 6 procedure categories. Logistic regression analysis showed that patients with an SMI had a significantly higher odds ratio of receiving 2 procedure categories (remov¬able prosthodontics and adjunctive general services). A negative binomial regression analysis was then conducted to predict the frequency of visits; patients with an SMI had a higher incidence rate ratio of receiving 4 ADA procedure categories (preventive, removable prosthodontics, oral and maxillofacial surgery, and adjunctive general services). This study identified the existence of oral healthcare disparities in a population with SMI in relation to specific ADA dental procedure categories. Improving integrated care models, interprofessional collaboration, and education of predoc¬toral dental students and licensed professionals may help alleviate some of the existing disparities.",General dentistry,2025,Vaishali Singhal; Yuane Jia; Ni Gao; Jill York; Michael Gold-Rosenbach; Nysa Ginu; Rhea Arya; Jay Sureshbhai Patel
40560063,Peripheral Neuropathy as an Early Marker in Newborn-Screened Krabbe Disease: The Value of Pre-Confirmatory Neurophysiological Testing.,"Krabbe disease, or globoid cell leukodystrophy, is a rare autosomal recessive neurodegenerative disorder characterized by deficient activity of the lysosomal enzyme galactosylceramidase (GALC). This deficiency leads to the toxic accumulation of psychosine, resulting in progressive demyelination and neuronal death. The clinical manifestations of Krabbe disease progress through different stages, starting with irritability, stiffness, and feeding difficulties, followed by myoclonic-like jerks in the upper and lower extremities, hypertonicity, and eventually severe hypotonia and lack of movement. This case report features two newborn screening patients with (NBS)-positive Krabbe disease who underwent electrodiagnostic (EDX) testing and hematopoietic stem cell transplantation (HSCT) soon after birth. The EDX results indicated severe sensory-motor polyneuropathy of mixed demyelinating and axonal types. Biochemical analyses confirmed significantly reduced GALC enzyme activity and elevated psychosine levels in both cases. Genetic testing identified pathogenic variants, including compound heterozygous deletions and mutations within the GALC gene. At 6-month follow-up post-HSCT, one patient showed age-appropriate milestones and improvement in motor amplitudes on repeat nerve conduction studies. EDX testing is helpful in assessing NBS-positive Krabbe disease before confirmatory testing results become available. In conjunction with genetic confirmation and GALC enzyme levels, EDX test results were useful to counsel families that their seemingly normal newborn has severe disease and facilitated discussion toward timely treatment with HSCT. We suggest that EDX be included in the initial and follow-up evaluation of patients with Krabbe disease undergoing HSCT.",Journal of the peripheral nervous system : JPNS,2025,Anthara Gnanakumar; Rana Aljaberi; Dawn A Laney; Christian Martin; Stephanie R Keller; Suhag H Parikh; Sumit Verma
